region	ring	station	sector	layer	subsector	roll	nstrips_geom	nstrips_noise	eff_mean	eff_min	eff_max	n_dead	eta	phi	rawId
0	-2	1	1	1	1	1	90	90	0.964612	0.964612	0.964612	0	-0.972084	0.0906435	637566989
0	-2	1	1	1	1	3	90	90	0.740145	0.740145	0.740145	0	-1.15268	0.0906435	637632525
0	-2	1	1	2	1	1	84	84	0.971532	0.971532	0.971532	0	-0.913315	0.0736394	637569037
0	-2	1	1	2	1	3	84	84	0.980683	0.980683	0.980683	0	-1.08822	0.0736394	637634573
0	-2	1	2	1	1	1	90	90	0.953644	0.953644	0.953644	0	-0.972084	0.614242	637567117
0	-2	1	2	1	1	3	90	90	0.978445	0.978445	0.978445	0	-1.15268	0.614242	637632653
0	-2	1	2	2	1	1	84	84	0.976121	0.976121	0.976121	0	-0.913315	0.597238	637569165
0	-2	1	2	2	1	3	84	84	0.977176	0.977176	0.977176	0	-1.08822	0.597238	637634701
0	-2	1	3	1	1	1	90	90	0.958609	0.958609	0.958609	0	-0.972084	1.13784	637567245
0	-2	1	3	1	1	3	90	90	0.974362	0.974362	0.974362	0	-1.15268	1.13784	637632781
0	-2	1	3	2	1	1	84	84	0.906233	0.906233	0.906233	0	-0.913315	1.12084	637569293
0	-2	1	3	2	1	3	84	84	0.979909	0.979909	0.979909	0	-1.08822	1.12084	637634829
0	-2	1	4	1	1	1	90	90	0.98031	0.98031	0.98031	0	-0.972084	1.66144	637567373
0	-2	1	4	1	1	3	90	90	0.977081	0.977081	0.977081	0	-1.15268	1.66144	637632909
0	-2	1	4	2	1	1	84	84	0.979387	0.979387	0.979387	0	-0.913315	1.64444	637569421
0	-2	1	4	2	1	3	84	84	0.975336	0.975336	0.975336	0	-1.08822	1.64444	637634957
0	-2	1	5	1	1	1	90	90	0.404088	0.404088	0.404088	0	-0.972084	2.18504	637567501
0	-2	1	5	1	1	3	90	90	0.981449	0.981449	0.981449	0	-1.15268	2.18504	637633037
0	-2	1	5	2	1	1	84	84	0.976306	0.976306	0.976306	0	-0.913315	2.16803	637569549
0	-2	1	5	2	1	3	84	84	0.981272	0.981272	0.981272	0	-1.08822	2.16803	637635085
0	-2	1	6	1	1	1	90	90	0.971794	0.971794	0.971794	0	-0.972084	2.70864	637567629
0	-2	1	6	1	1	3	90	90	0.818374	0.818374	0.818374	0	-1.15268	2.70864	637633165
0	-2	1	6	2	1	1	84	84	0.978881	0.978881	0.978881	0	-0.913315	2.69163	637569677
0	-2	1	6	2	1	3	84	84	0.982661	0.982661	0.982661	0	-1.08822	2.69163	637635213
0	-2	1	7	1	1	1	90	90	0.973857	0.973857	0.973857	0	-0.972084	-3.05095	637567757
